"","n","r","lambda01","mu01","lambda02","mu02","lambda03","mu03","lambda04","mu04","lambda05","mu05","lambda06","mu06"
"1",20,20,2.30731289784819,1.57791975523227,2.04659484183286,1.5350411010778,1.98609746855186,1.52604238203656,1.73890622548029,1.4771645965565,5.92983227314917,1.87418171405287,1.90873959865772,1.49909365663232
"2",20,20,3.95509100860397,1.70480451991718,3.95509100860397,1.70480451991718,3.99655277007337,1.70649821554567,3.6471659405173,1.68816606941922,4.4427611189205,1.71642065791951,4.230334711396,1.71016948966043
"3",20,20,2.27840750566327,1.52914101090778,2.17430036373561,1.51342507340562,2.1654468675619,1.51212248065876,2.49636105361926,1.54451873132702,3.02667931295107,1.59231299167631,2.63856936735089,1.55623492976956
"4",20,20,5.26692067589332,1.67452793392868,4.19293427362973,1.63061292137752,4.07189851579185,1.62432085859953,3.63851234389258,1.60783862125451,4.02033511058647,1.629912463017,3.64771934820126,1.60864247004586
"5",20,20,1.93161815311241,1.58919377172221,1.82954856937755,1.57630273513416,1.80152059477572,1.57135811799861,1.76978982132591,1.56864106449432,2.23963818794528,1.65490974117465,1.77289881193562,1.57001802451859
"6",20,20,3.05251966442613,1.5408896133118,2.96801810696572,1.53847166767066,2.93469753876619,1.53703045171518,3.14305764685488,1.539260211302,3.55064791370215,1.56948643225752,3.15399018269718,1.54043378292986
"7",20,20,2.93338675650356,1.62540835720758,2.93338675650356,1.62540835720758,2.93338675650356,1.62540835720758,3.10700804267385,1.6329885553246,3.50962999184903,1.65950272834208,3.13805011268848,1.63338140683679
"8",20,20,1.89166861289029,1.54269601712783,1.85686583680055,1.53928571954478,1.84022879427489,1.53762139497703,1.80584741072205,1.53673121688484,2.21928775809345,1.59582161402955,1.7882439318566,1.51960997187287
"9",20,20,3.01235358979926,1.51293694526074,2.71445731197693,1.48854144889191,2.57063593994159,1.47812897037837,2.51103086484963,1.47286116257454,3.15338852514563,1.54407002512313,2.49668263167263,1.47269396952432
"10",20,20,1.39039634314623,1.48497930537043,1.39039634314623,1.48497930537043,1.39039634314623,1.48497930537043,1.20835509077872,1.46213435469707,2.06795135881839,1.57715854323178,1.92181258200069,1.56592092622198
"11",20,20,3.00057363006931,1.54533884872945,3.00057363006931,1.54533884872945,2.98286723362113,1.5444133155113,3.62832139628129,1.57946723048462,2.59239679884088,1.50306448825388,2.33037455980065,1.47724091947162
"12",20,20,1.98393910036755,1.43871363715651,1.84224656661482,1.41208579685701,1.84224656661482,1.41208579685701,1.81632897314898,1.41596882763016,2.01185911831358,1.44907494636091,1.81221866698086,1.41548558950275
"13",20,20,3.957466251033,1.63042168118463,3.62770344137544,1.61313804791039,3.35047283398431,1.59667444652181,3.45622817632747,1.60572675835572,4.53705535780155,1.65283528547479,3.87563951992886,1.61879987425817
"14",20,20,4.92708649056166,1.59382686123118,4.92708649056166,1.59382686123118,4.92708649056166,1.59382686123118,4.87759785576232,1.59072704670417,5.78473345907395,1.62271818817421,5.07225095156652,1.59602636085017
