"","n","r","lambda01","mu01","lambda02","mu02","lambda03","mu03","lambda04","mu04","lambda05","mu05","lambda06","mu06"
"1",20,16,2.75538134926189,1.62913511748956,2.32959990905362,1.592437919804,2.01085528938204,1.55637059831019,0.256774919162875,0.689184077540529,0.371635261579436,1.21276013032935,0.256397848052441,0.68792494011169
"2",20,16,2.46183176733152,1.41433241434717,1.93535832519441,1.3584759750533,1.36939294195157,1.27044139631413,0.111399598225632,-0.211381062054093,0.567512156835288,3.03470746381542,0.114522536403272,-0.177559145695455
"3",20,16,2.29234444803505,1.63235640575772,2.24367422873196,1.6281272359975,2.1211250254138,1.61372946463459,2.33901601879709,1.63240497553745,0.623429985147562,1.42295808596173,0.519073126980685,1.13834444591966
"4",20,16,1.11931977810725,1.34976531154205,1.08111368401422,1.33885218320174,1.08111368401422,1.33885218320174,1.24916631568918,1.40033216407685,0.790175829200596,1.39589648268593,0.702627768198035,1.20935996544737
"5",20,16,2.40983981438246,1.38956798352979,2.36156248927163,1.38466449066411,1.94792313869954,1.34415042934715,0.33158753679089,0.648108960710654,0.43610020820631,1.06473382402927,0.322645728360595,0.632918282043268
"6",20,16,2.21020373397633,1.59346794431949,1.75446578315586,1.544483810829,1.31401633066016,1.48202533385318,0.177236224575427,0.433515109542002,0.755354588990468,3.08440136519755,0.175796073413524,0.427669607087156
"7",20,16,5.353391833476,1.66346353656895,4.44627042198119,1.63049719128165,4.23999790976663,1.62016999498431,4.8606141416327,1.64252221065616,1.18407879717459,1.47908965948806,0.954205429082515,1.25738798031072
"8",20,16,5.02078301802427,1.75902119412806,4.354307491522,1.73808751080525,3.49693034089615,1.69981175542671,0.416813438367562,1.00115134318793,0.608564658039745,1.41423248871147,0.416743670796472,1.00047972478817
"9",20,16,1.02812215763741,1.29629300235782,0.978453019390819,1.27989907755229,0.863865331168916,1.24048390371499,0.303925083074188,0.757416495532952,1.06440152551213,2.87415946138286,0.28330332974214,0.72145944529514
"10",20,16,2.17535015950283,1.4846988552836,1.23381487743178,1.29793879883138,1.34661581676662,1.33512853684343,0.640304275407046,1.08269643014831,0.689152747075643,1.31350805750805,0.558269677614765,1.03074990681934
"11",20,16,2.43209379595833,1.60480473941547,2.15356208887053,1.57027898074198,2.11632203205401,1.56621877556909,2.65749114268903,1.61291976623113,1.61291415523773,1.59611019547874,1.47282660021944,1.47570100129685
"12",20,16,1.82215305750551,1.49677455495137,1.68152710317469,1.47057588576581,1.60920266778154,1.45684094744488,1.89494141532984,1.5065542879785,0.676126740221099,1.36518610035221,0.594096208474037,1.13049764845403
"13",20,16,2.05300678226203,1.61051564386757,1.9445477698696,1.60247557986195,1.77372773963928,1.58663787475268,0.349898543160774,0.946667369041317,1.25668658551103,2.89279670629105,0.319836151272155,0.891988707205824
"14",20,16,2.44465638487034,1.42324050192456,2.30698739021176,1.4092168118853,2.19322243719318,1.3976950747602,2.17338936395737,1.39239267549062,0.585175378989278,1.18044334409291,0.479483621842941,0.876813501234442
"15",20,16,4.19630296789993,1.68293656488402,3.87855221260132,1.67313160079938,3.64672752029242,1.6639422303731,0.950189715199859,1.31585248973371,1.15143031045154,1.53293937018025,0.883165913138863,1.28654979887141
"16",20,16,1.45269295072238,1.50411099360165,1.43638393919988,1.50020814840664,1.29541518827747,1.46918009725373,1.47409090571992,1.50027848935612,1.17760118668926,2.88670644381769,0.312727994267551,0.846874452348276
"17",20,16,1.60556952888796,1.39475555513427,1.38179877725176,1.34880003379227,1.2151650776112,1.30738158758352,0.204204628067366,0.426990291376056,0.795187259531666,2.94065451114275,0.196684858828291,0.400197864540792
"18",20,16,1.0478868076109,1.41137869932832,0.891323199868753,1.3637111412401,0.777772327940121,1.3210707535156,0.155904848067403,0.357096058680463,0.609267866543267,3.22077818076427,0.149266980270575,0.312654786053526
"19",20,16,2.0894689384668,1.60949520522084,1.77538293221394,1.56535337977957,1.65605726131341,1.5457395710206,1.81985024163341,1.58266927280503,1.13592895835547,1.83775466855965,0.469101054613046,1.10298580394908
