"","n","r","lambda01","mu01","lambda02","mu02","lambda03","mu03","lambda04","mu04","lambda05","mu05","lambda06","mu06"
"1",20,16,2.09167050837109,1.42911651242517,2.07478335955187,1.42813099468628,2.08098608772264,1.42849280585206,2.27210889012254,1.4445960715935,2.6998980909746,1.50401283253741,2.26957189882241,1.44462522836214
"2",20,16,2.0377188715811,1.59645741604825,1.99105362480733,1.59167916721564,1.99105362480733,1.59167916721564,1.98272619568213,1.59369675510288,2.80377716320611,1.69848318606485,1.95174802313145,1.58795487017113
"3",20,16,2.64212174419575,1.49849686232008,2.51394577932065,1.48979567236941,2.42870285350171,1.48428373446951,2.3382080698035,1.46654956993928,2.50483917759757,1.50650388289687,2.34836263525631,1.46825549329012
"4",20,16,1.38288538155278,1.48687207594882,1.38096734227757,1.48648666265229,1.38018737380548,1.48637585494148,1.39713873102412,1.48480428060775,1.72189062636462,1.58956796486455,1.40928503577281,1.48889843529315
"5",20,16,2.16151203654391,1.50647617926489,2.20034572031082,1.51172438514082,2.13603843329929,1.50295606756429,2.07801253547991,1.50557861333542,2.6812918947759,1.59951328992939,2.07978638625362,1.50777241488998
"6",20,16,6.04640281480507,1.79737273095941,5.72330335824827,1.78911131801018,5.4730028139242,1.78195424438033,5.83582989335599,1.79165420245544,8.10901049904534,1.85771784394141,3.32211125820387,1.6774619526493
"7",20,16,2.05573079755767,1.49776734365735,1.80386349434051,1.45939941051256,1.66434298064753,1.43944705148893,1.51992319193898,1.41442250971969,6.2319591208118,1.79096346884635,1.5973349093926,1.42514171487548
"8",20,16,1.41638340091557,1.29885064270847,1.31356886794466,1.28038871717025,1.31356886794466,1.28038871717025,1.27660163423187,1.27872288498851,1.79467069465516,1.4127673628777,1.2784518069139,1.27976843667473
"9",20,16,1.82347655530423,1.38966257933098,1.65865862658297,1.3702341521125,1.62143333794684,1.36358549207552,1.53751268026935,1.35231447928219,2.24156582701326,1.4902258607719,1.5333460616966,1.35107894782354
"10",20,16,3.45602589495294,1.51362751470428,3.10324401048439,1.48607406567289,3.08639991617612,1.48440167464364,2.92005489978915,1.47176020377603,3.41210893380471,1.52665521252347,2.87871212678707,1.46835561145816
